	sequences per sample	iteration	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc9	515rcbc29	515rcbc14	515rcbc10	515rcbc28	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_10_0.txt	10	0	2.77084	3.02186	2.45192	2.52479	2.6268	2.94419	2.51053	2.91483	2.48576	2.42883	2.65211	3.43802	2.29157	2.64961	2.73051	2.76807	2.75879	3.23747	2.91649	2.61193	3.08763	2.77363	2.97118	2.32273	2.52587	2.03405	1.65744
alpha_rarefaction_10_1.txt	10	1	2.72695	2.25278	2.86309	2.55597	1.89835	2.28691	3.29021	1.64772	2.4218	2.12808	2.65722	3.18022	2.92845	2.19371	2.87662	2.89373	1.78376	2.12483	2.80723	2.48488	2.45953	1.9514	2.28629	2.41773	2.86153	1.41992	3.37026
alpha_rarefaction_10_2.txt	10	2	2.769	2.87915	2.24049	2.81717	2.84054	2.54578	2.25719	2.11712	3.10471	3.10908	2.85361	2.02471	2.52904	2.43687	3.37341	3.06186	1.34185	3.49934	3.05287	2.98301	3.21366	2.70784	2.75804	2.99957	2.06795	1.99563	2.65193
alpha_rarefaction_10_3.txt	10	3	3.22173	2.74502	2.76745	2.58468	1.98763	3.02949	2.9112	2.23169	2.79317	2.71274	2.40087	2.80355	2.29547	3.15322	2.70544	2.86396	2.67782	2.22249	2.79239	2.8852	3.50861	2.85641	3.18886	2.02796	2.38372	2.65852	2.7687
alpha_rarefaction_10_4.txt	10	4	1.92497	3.78029	2.59582	2.69701	2.44404	3.03644	2.85875	3.16644	2.28215	2.18731	2.22605	1.90161	2.77298	2.56936	2.61969	2.93685	2.08083	1.9243	1.95102	2.60244	2.5624	2.63311	3.35129	2.82353	3.05537	1.95342	2.35562
alpha_rarefaction_10_5.txt	10	5	2.16822	3.33268	3.10115	1.75208	2.25344	3.25621	3.00335	2.6127	2.89042	2.87471	3.5268	2.53701	1.98929	3.16379	2.62434	2.55712	2.43539	2.8096	3.14863	2.28307	3.14687	2.53214	3.28806	3.25003	1.82692	2.6635	2.47218
alpha_rarefaction_10_6.txt	10	6	2.53208	2.51609	1.75728	1.90992	2.89841	3.32052	2.88609	3.15353	2.504	3.16974	2.87545	2.71677	2.70976	2.74974	2.36472	2.98625	2.41318	2.36463	3.52294	2.86011	2.84607	2.63824	3.25974	2.21926	2.00828	2.67691	2.12113
alpha_rarefaction_10_7.txt	10	7	2.9416	2.26886	3.35559	1.9389	2.78696	2.43788	2.72764	2.8721	2.14556	2.98996	3.24708	3.18995	2.70774	2.35379	2.16759	3.46517	3.87908	2.12186	3.63242	3.19278	2.46655	2.93014	2.5089	2.40686	3.03551	1.87228	2.11214
alpha_rarefaction_10_8.txt	10	8	2.44946	2.67726	3.07836	3.11123	3.06075	2.46656	2.49565	2.22912	3.13884	2.50559	3.21742	2.36409	2.40585	2.43325	3.60607	3.39209	2.59686	1.98745	2.61463	2.90319	2.71265	1.93334	2.64385	2.58573	2.47519	2.51458	2.87344
alpha_rarefaction_10_9.txt	10	9	2.75982	2.16558	3.17411	2.43782	2.27598	2.6501	2.94384	2.2877	3.34192	3.06409	2.64709	2.7577	2.78145	3.58034	2.05122	2.68992	1.82104	2.67755	2.539	3.12183	1.42393	2.45035	2.92981	2.36879	2.02644	2.97896	2.17526
alpha_rarefaction_491_0.txt	491	0	13.26755	12.94731	11.68353	13.49867	13.80285	13.04722	12.04694	12.95098	13.37327	12.81574	13.08567	11.5754	12.76626	13.64495	13.53486	13.65909	11.33928	12.23248	13.51591	12.36961	13.34519	13.30078	13.41329	12.90387	13.16682	9.90075	12.77239
alpha_rarefaction_491_1.txt	491	1	12.23669	12.78204	11.55311	12.29214	13.20156	12.94569	11.55074	12.86662	13.84588	12.74238	13.28522	11.94949	13.28385	13.15886	13.24868	13.54692	12.00323	13.55254	13.2305	13.24222	13.13583	12.52419	13.21655	13.08505	12.14381	11.59251	12.60059
alpha_rarefaction_491_2.txt	491	2	12.08978	13.49387	12.37386	12.5129	12.54178	12.03564	10.46461	11.98561	13.7323	12.68506	12.937	10.70645	12.84988	12.79451	13.23954	14.08482	11.10686	13.02739	13.53695	12.52653	13.25732	12.81313	12.841	12.28374	12.3951	11.75826	13.13253
alpha_rarefaction_491_3.txt	491	3	11.84628	12.67497	11.66323	13.12148	12.12646	13.499	11.18975	12.45491	14.08358	12.61004	12.61056	10.76148	12.48076	12.97981	13.42524	12.40936	12.65164	13.06974	12.72513	13.38753	13.43676	13.21893	13.11887	12.90153	12.69896	11.56653	12.64468
alpha_rarefaction_491_4.txt	491	4	12.47184	12.62672	12.42706	12.50908	12.75907	13.45287	11.2126	12.59707	13.87281	12.42271	12.24248	10.96028	12.7425	13.10212	13.36014	13.08952	11.70967	12.19593	13.12998	13.18579	12.40448	13.4603	12.85487	12.32926	12.2494	10.55181	13.01875
alpha_rarefaction_491_5.txt	491	5	11.71752	12.48276	12.2677	11.81413	12.81553	13.01339	11.3134	13.21077	13.89416	12.01635	12.20852	11.60086	13.45719	12.14298	13.01777	13.65652	12.12053	12.88926	14.12408	13.4924	12.71945	12.68698	12.51388	13.44541	12.69785	10.66405	12.88781
alpha_rarefaction_491_6.txt	491	6	11.93342	12.18911	12.0057	13.1954	12.45134	12.60809	11.14686	13.25313	12.65292	12.3549	13.28201	10.44284	12.54165	13.94503	13.39459	14.46758	11.52763	13.71997	12.98805	13.30554	12.79487	13.34788	12.9311	13.60679	12.76068	10.7046	12.23366
alpha_rarefaction_491_7.txt	491	7	12.24427	13.59066	11.66694	13.34315	12.32566	13.35958	11.20404	12.94717	13.91942	12.19014	13.78409	10.55382	12.69805	14.16799	12.6472	14.11599	12.66044	13.18822	13.32612	13.2542	13.9067	13.04667	12.27507	12.468	13.32696	10.77063	13.55207
alpha_rarefaction_491_8.txt	491	8	11.14197	12.4334	12.0505	12.27518	12.74688	12.42792	11.25931	13.14934	12.85735	13.3769	13.74681	11.3327	11.66111	14.10656	13.32814	13.85236	11.26865	13.20608	12.51012	13.85114	12.2543	12.04456	13.14486	12.93888	12.83355	12.00637	13.52099
alpha_rarefaction_491_9.txt	491	9	12.47795	12.4832	12.04065	14.02741	12.20625	13.18774	11.11754	13.11569	13.46705	11.61638	12.06071	11.71035	12.95126	14.41554	12.49928	13.54781	12.12335	13.09541	13.68656	13.0245	12.36342	12.7676	13.28985	12.9279	12.80102	9.82875	13.20829
alpha_rarefaction_972_0.txt	972	0	13.8609	13.73072	13.22268	15.13278	13.88901	14.35096	12.11272	14.21174	14.5496	13.81712	14.43091	13.37675	14.70374	14.69592	13.8954	15.16402	13.60474	13.89802	14.71417	14.42616	14.57441	15.09231	14.07573	14.27363	13.7557	11.70172	14.87173
alpha_rarefaction_972_1.txt	972	1	13.30391	14.58559	13.08368	14.49896	14.47251	13.92361	12.10496	14.17686	14.11752	13.73316	14.18107	12.52297	14.6501	15.25656	14.31088	15.08952	14.36673	14.62826	14.85858	15.0014	13.68821	14.8876	14.29531	13.91897	14.30744	12.42774	14.09746
alpha_rarefaction_972_2.txt	972	2	14.31203	14.83088	12.77081	14.25145	14.56318	14.27877	11.71578	14.99109	14.97728	14.21906	14.16216	12.9195	13.9845	14.30884	14.11148	14.50497	13.75498	12.97925	14.34592	14.8213	14.8221	14.83875	14.63002	15.326	14.37007	12.91919	14.09177
alpha_rarefaction_972_3.txt	972	3	13.5882	14.56689	13.1417	14.58554	14.0539	14.64563	13.00507	14.52073	14.3971	14.67335	14.38291	12.98988	13.88163	15.08559	13.83048	14.80773	13.1425	14.24347	14.31745	14.82773	14.79532	14.04813	13.49419	15.01141	14.37127	12.70479	14.69574
alpha_rarefaction_972_4.txt	972	4	13.1339	14.72817	12.81461	14.69593	14.47046	13.64779	12.46983	14.36822	14.48983	13.44006	13.73356	13.77082	13.79898	15.30962	14.40564	15.57172	13.60028	13.86873	15.51313	14.23035	14.33863	14.50771	14.83116	15.09274	14.57184	12.07258	14.82754
alpha_rarefaction_972_5.txt	972	5	14.25983	14.11899	13.62503	14.8141	13.94337	14.98469	12.56563	14.51856	15.67469	14.52606	15.01976	13.70303	14.24859	15.33145	14.49918	15.0833	13.80849	15.04595	14.95183	14.55767	13.94733	14.76612	14.27161	14.91788	14.74875	13.0594	15.14223
alpha_rarefaction_972_6.txt	972	6	13.25317	14.87144	12.59829	14.25532	14.90096	14.35301	12.3723	15.18971	14.36339	14.25672	14.37215	13.16084	14.7502	14.9251	15.00011	15.99203	13.95496	14.40015	15.17344	14.75608	14.74749	13.79152	14.56307	14.50773	14.1524	11.40522	15.03683
alpha_rarefaction_972_7.txt	972	7	13.6365	14.10487	13.6268	14.46852	13.96698	13.98739	12.09499	14.85566	14.08031	13.08557	14.92728	13.45104	14.46484	15.0795	14.08613	15.34155	13.33242	14.56632	14.81306	14.3997	14.36615	14.02111	13.96784	13.83932	14.25257	12.52906	14.55669
alpha_rarefaction_972_8.txt	972	8	13.53917	14.20764	13.53497	14.28146	14.71919	14.21906	12.05271	15.37584	14.8819	14.11438	14.38732	13.15884	14.71581	14.89414	15.05933	15.23763	12.97878	14.76136	14.57885	14.51856	13.80253	14.03819	14.38732	14.88511	14.62577	11.91931	14.43191
alpha_rarefaction_972_9.txt	972	9	14.47266	14.51802	13.70128	14.84327	14.10616	14.05043	11.88512	15.36634	14.60459	13.81477	14.1229	12.97629	15.35822	15.408	14.3788	15.12791	13.74934	14.77298	14.15994	14.51117	14.58455	13.79154	13.92783	14.93442	14.64348	13.10815	14.27155
alpha_rarefaction_1453_0.txt	1453	0	14.55693	14.48003	13.83338	15.10011	15.49152	15.21024	13.08616	15.43678	15.48231	15.31743	14.68118	14.07548	15.48314	15.31232	14.75835	15.32428	14.57954	14.85436	15.75956	14.55658	15.59213	15.37733	14.67973	15.30109	14.79462	13.19913	15.66877
alpha_rarefaction_1453_1.txt	1453	1	14.44677	14.93777	13.26462	14.84921	14.82123	14.70811	12.91737	15.05263	15.67341	14.64138	14.88212	13.48487	15.05255	15.45626	15.11393	15.77971	14.84079	15.1758	15.85165	15.01964	15.12323	15.10609	15.22203	15.75331	15.34181	13.68195	14.51218
alpha_rarefaction_1453_2.txt	1453	2	14.79983	15.1507	13.65032	15.45639	15.28675	14.63603	13.60509	15.88999	15.45179	14.29901	15.17978	13.68179	15.66169	15.79404	15.34497	15.69581	15.29234	15.07944	16.08268	14.90561	15.83179	14.72612	15.20399	15.2169	15.03206	13.18373	15.79329
alpha_rarefaction_1453_3.txt	1453	3	14.46509	15.12641	13.79288	15.15513	15.49895	14.95168	13.30188	15.6736	14.62052	14.62211	13.54408	13.18927	14.87282	15.54704	15.22101	15.10982	14.7626	15.46236	15.73291	15.08186	15.11534	14.99001	15.24598	15.18125	15.22186	13.36076	15.41786
alpha_rarefaction_1453_4.txt	1453	4	14.6503	15.15747	13.51185	15.00682	14.90045	14.6424	12.89216	14.93263	15.66047	14.20724	15.48094	13.38295	14.76414	16.1081	15.04226	15.9465	14.49048	15.14349	15.80913	15.57083	14.86063	15.34275	15.30879	15.84621	14.72522	13.31119	16.00229
alpha_rarefaction_1453_5.txt	1453	5	14.4267	14.72552	13.93058	15.43959	15.11964	14.55591	13.42591	15.02223	15.48451	13.86338	14.70484	13.75699	15.6724	15.51441	15.13256	15.50268	14.56556	15.28719	15.9637	15.3023	15.01758	15.18671	15.63951	15.71005	15.32626	12.89752	15.04128
