	sequences per sample	iteration	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc9	515rcbc29	515rcbc14	515rcbc10	515rcbc28	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_10_0.txt	10	0	29.0	23.0	8.5	23.0	13.0	55.0	8.5	23.0	55.0	23.0	23.0	55.0	12.0	55.0	55.0	23.0	29.0	55.0	55.0	23.0	13.0	13.0	55.0	12.0	13.0	29.0	12.0
alpha_rarefaction_10_1.txt	10	1	23.0	23.0	23.0	23.0	29.0	23.0	55.0	22.0	23.0	23.0	23.0	23.0	55.0	29.0	55.0	13.0	12.0	7.0	23.0	13.0	23.0	23.0	12.0	13.0	55.0	7.0	23.0
alpha_rarefaction_10_2.txt	10	2	12.0	23.0	55.0	13.0	55.0	23.0	55.0	23.0	55.0	55.0	55.0	13.0	55.0	13.0	23.0	23.0	29.0	23.0	55.0	12.0	55.0	55.0	23.0	23.0	7.0	23.0	13.0
alpha_rarefaction_10_3.txt	10	3	55.0	55.0	23.0	23.0	23.0	55.0	13.0	13.0	55.0	55.0	12.0	23.0	55.0	23.0	55.0	55.0	13.0	29.0	23.0	55.0	55.0	23.0	23.0	13.0	55.0	23.0	23.0
alpha_rarefaction_10_4.txt	10	4	12.0	55.0	23.0	13.0	23.0	55.0	55.0	55.0	13.0	23.0	9.0	13.0	55.0	23.0	23.0	23.0	23.0	13.0	8.5	8.5	13.0	23.0	23.0	23.0	23.0	8.5	23.0
alpha_rarefaction_10_5.txt	10	5	55.0	13.0	55.0	22.0	23.0	55.0	55.0	55.0	23.0	23.0	23.0	55.0	13.0	55.0	55.0	29.0	23.0	12.0	55.0	12.0	23.0	13.0	55.0	23.0	22.0	23.0	23.0
alpha_rarefaction_10_6.txt	10	6	23.0	29.0	55.0	13.0	23.0	55.0	23.0	13.0	23.0	55.0	23.0	23.0	55.0	55.0	23.0	55.0	23.0	55.0	55.0	23.0	23.0	29.0	55.0	8.5	8.5	23.0	55.0
alpha_rarefaction_10_7.txt	10	7	55.0	23.0	23.0	12.0	23.0	23.0	13.0	55.0	13.0	23.0	55.0	55.0	55.0	29.0	23.0	55.0	55.0	12.0	55.0	23.0	23.0	55.0	23.0	55.0	55.0	29.0	12.0
alpha_rarefaction_10_8.txt	10	8	13.0	55.0	23.0	55.0	55.0	23.0	13.0	23.0	23.0	13.0	23.0	23.0	23.0	55.0	55.0	55.0	13.0	29.0	55.0	55.0	23.0	9.0	55.0	13.0	23.0	13.0	23.0
alpha_rarefaction_10_9.txt	10	9	23.0	12.0	13.0	13.0	9.0	13.0	29.0	55.0	23.0	23.0	23.0	12.0	55.0	55.0	29.0	23.0	16.0	23.0	23.0	23.0	13.0	13.0	55.0	29.0	9.0	55.0	23.0
alpha_rarefaction_491_0.txt	491	0	152.769230769	130.5	112.0	163.476190476	154.130434783	131.333333333	142.9375	137.44	125.130434783	142.142857143	158.333333333	119.666666667	136.5	133.538461538	151.454545455	136.44	121.0625	135.037037037	148.565217391	114.714285714	154.142857143	137.454545455	142.157894737	133.333333333	146.047619048	104.235294118	142.0
alpha_rarefaction_491_1.txt	491	1	119.647058824	121.037037037	104.588235294	140.681818182	140.44	147.375	117.9375	140.64	150.272727273	124.136363636	137.333333333	138.052631579	176.666666667	138.375	139.4	129.076923077	180.0	128.777777778	144.157894737	152.052631579	123.916666667	188.615384615	159.315789474	145.913043478	111.5	120.0	124.222222222
alpha_rarefaction_491_2.txt	491	2	114.043478261	153.0	117.75	134.12	128.333333333	117.526315789	96.0526315789	116.222222222	142.096774194	132.8	143.714285714	96.0	128.956521739	140.565217391	138.956521739	138.0	128.058823529	143.285714286	136.5	137.4	128.03030303	130.375	132.8	130.058823529	118.0	108.375	136.565217391
alpha_rarefaction_491_3.txt	491	3	119.0	132.12	123.882352941	134.12	129.954545455	147.2	125.0	126.75	159.052631579	124.615384615	117.117647059	121.25	126.12	144.230769231	132.0	129.25	161.909090909	126.6	142.565217391	129.44	180.368421053	134.791666667	127.12	127.142857143	136.714285714	101.0	178.461538462
alpha_rarefaction_491_4.txt	491	4	141.615384615	124.772727273	129.619047619	162.272727273	147.052631579	164.555555556	111.894736842	143.75	144.037037037	125.5	122.055555556	124.0625	119.0	127.111111111	154.625	124.055555556	130.058823529	122.368421053	134.12	143.75	133.565217391	136.615384615	133.0	126.25	119.125	100.0	137.05
alpha_rarefaction_491_5.txt	491	5	108.157894737	119.142857143	122.454545455	110.538461538	126.8	120.636363636	104.882352941	147.5	154.454545455	128.44	134.25	135.0	141.038461538	118.451612903	144.166666667	155.047619048	129.272727273	153.526315789	144.875	137.391304348	140.636363636	122.666666667	129.869565217	141.24137931	120.375	102.461538462	126.105263158
alpha_rarefaction_491_6.txt	491	6	124.473684211	137.105263158	116.636363636	123.096774194	130.272727273	143.038461538	105.333333333	149.3	141.714285714	146.052631579	140.956521739	123.909090909	128.4	136.285714286	166.714285714	152.954545455	150.714285714	143.0	167.4	128.12	127.652173913	127.666666667	136.75	130.529411765	142.0	124.0	134.0
alpha_rarefaction_491_7.txt	491	7	121.368421053	182.666666667	130.461538462	146.454545455	133.0	143.0	111.5	153.625	160.047619048	128.666666667	159.0	152.0	117.193548387	143.25	134.789473684	130.535714286	141.0	141.217391304	133.857142857	136.526315789	137.576923077	122.4	127.555555556	124.884615385	166.4375	120.0625	149.076923077
alpha_rarefaction_491_8.txt	491	8	112.625	127.136363636	135.333333333	142.0	134.052631579	130.894736842	111.434782609	143.038461538	144.869565217	140.75	147.217391304	131.1875	147.3125	163.115384615	139.588235294	152.652173913	134.1875	178.066666667	145.071428571	155.84	124.538461538	132.75	150.454545455	132.833333333	194.769230769	168.0	144.352941176
alpha_rarefaction_491_9.txt	491	9	106.5	121.105263158	126.565217391	144.8	124.8	148.315789474	106.315789474	139.05	155.055555556	106.882352941	113.724137931	148.090909091	133.636363636	161.652173913	128.375	129.772727273	151.0	123.217391304	156.44	128.884615385	142.0	130.142857143	197.3	138.2	124.142857143	100.214285714	157.076923077
alpha_rarefaction_972_0.txt	972	0	134.588235294	136.0	125.652173913	157.391304348	158.0625	140.75	112.772727273	131.666666667	151.0	138.625	136.5	130.0	152.344827586	146.0	141.666666667	143.666666667	160.75	144.105263158	150.25	141.0	144.636363636	184.833333333	152.25	140.545454545	134.047619048	111.8	158.045454545
alpha_rarefaction_972_1.txt	972	1	147.375	157.166666667	129.352941176	152.37037037	136.0	131.181818182	141.25	154.75	142.5	145.117647059	140.055555556	145.2	153.0	155.541666667	147.55	144.636363636	158.15	146.222222222	149.037037037	141.714285714	139.833333333	140.783783784	142.5	140.285714286	143.454545455	115.5	138.0
alpha_rarefaction_972_2.txt	972	2	146.235294118	145.344827586	126.0	144.75	129.75	141.884615385	107.555555556	150.882352941	150.037037037	145.24	133.142857143	185.0	141.117647059	145.875	142.052631579	137.555555556	148.75	147.588235294	143.5	137.4	146.0	143.103448276	146.666666667	146.130434783	145.428571429	124.0	144.666666667
alpha_rarefaction_972_3.txt	972	3	133.4375	150.652173913	131.352941176	141.607142857	142.130434783	155.368421053	131.714285714	154.0	142.352941176	144.0	137.588235294	152.153846154	137.0	145.125	152.0	140.55	128.130434783	139.636363636	149.714285714	170.0	161.1875	131.785714286	139.647058824	152.6	143.3	111.315789474	145.260869565
alpha_rarefaction_972_4.txt	972	4	136.333333333	147.5	135.866666667	148.730769231	136.375	143.833333333	125.25	147.25	139.285714286	133.545454545	133.333333333	155.2	150.136363636	160.647058824	153.0	151.5	138.2	156.214285714	155.0	136.12	149.25	145.9	152.375	148.0	147.4	111.588235294	143.625
alpha_rarefaction_972_5.txt	972	5	139.5	145.0	146.2	149.103448276	126.65	142.785714286	119.047619048	140.55	144.785714286	161.0	164.05	122.5	149.894736842	158.4	147.4	144.545454545	125.043478261	151.25	151.772727273	150.375	149.75	141.04	151.588235294	156.6	163.0	127.0	157.714285714
alpha_rarefaction_972_6.txt	972	6	154.214285714	166.333333333	130.235294118	140.260869565	146.75	143.043478261	133.076923077	165.473684211	147.055555556	140.0	142.333333333	124.526315789	142.625	156.25	171.214285714	168.714285714	126.037037037	138.0	156.368421053	149.217391304	149.714285714	136.857142857	150.217391304	143.322580645	140.476190476	103.352941176	171.375
alpha_rarefaction_972_7.txt	972	7	136.428571429	143.476190476	145.588235294	146.24	142.0	141.0	117.55	146.5	133.526315789	136.526315789	145.625	124.157894737	152.352941176	147.55	154.0	155.714285714	131.9	162.166666667	156.8	139.5	141.833333333	141.12	151.4	132.260869565	139.043478261	116.071428571	165.615384615
alpha_rarefaction_972_8.txt	972	8	132.545454545	147.0	156.0625	149.206896552	153.045454545	146.882352941	123.882352941	156.5	143.434782609	186.545454545	147.55	147.176470588	142.12	148.315789474	154.24	155.714285714	135.894736842	167.142857143	148.04	152.076923077	136.6	146.866666667	154.166666667	149.260869565	141.607142857	125.909090909	164.157894737
alpha_rarefaction_972_9.txt	972	9	156.352941176	147.5	147.0	153.714285714	142.0	140.8125	112.153846154	164.619047619	143.75	137.545454545	142.541666667	155.333333333	152.303030303	159.454545455	154.0	144.043478261	135.034482759	150.0	151.9	151.3	145.285714286	135.730769231	136.730769231	146.260869565	151.555555556	149.5	136.142857143
alpha_rarefaction_1453_0.txt	1453	0	166.461538462	138.714285714	132.55	149.666666667	160.894736842	153.0	125.058823529	157.0	150.352941176	154.875	146.769230769	146.0	160.666666667	142.882352941	148.0	161.272727273	164.75	165.5	153.75	155.083333333	152.5	157.4	147.5625	151.65	138.714285714	122.65	154.0
alpha_rarefaction_1453_1.txt	1453	1	157.071428571	145.375	133.75	150.666666667	143.476190476	141.55	135.25	157.235294118	149.055555556	155.105263158	156.25	136.666666667	136.956521739	157.25	146.772727273	160.588235294	145.0	152.5	165.117647059	146.142857143	147.0	148.4	150.55	150.130434783	166.0	124.882352941	147.615384615
alpha_rarefaction_1453_2.txt	1453	2	152.235294118	163.772727273	158.083333333	150.043478261	158.555555556	144.076923077	136.333333333	159.882352941	163.0	148.5	160.0	136.043478261	144.0	154.5	152.2	148.833333333	173.0	151.043478261	162.647058824	145.625	158.0	149.130434783	149.55	148.076923077	144.434782609	146.25	155.0
alpha_rarefaction_1453_3.txt	1453	3	142.352941176	154.043478261	152.076923077	155.666666667	151.8	145.058823529	123.772727273	157.769230769	146.0	154.647058824	138.0	138.714285714	155.333333333	148.105263158	149.142857143	143.894736842	142.777777778	146.107142857	159.0	143.0	148.230769231	145.714285714	144.454545455	142.666666667	150.833333333	124.6	161.9
alpha_rarefaction_1453_4.txt	1453	4	144.4	149.5	147.235294118	154.333333333	160.625	147.928571429	131.0	144.55	145.545454545	141.214285714	159.55	147.375	148.052631579	155.5625	159.75	150.5	139.833333333	152.0	160.882352941	163.071428571	172.230769231	146.454545455	156.8125	162.4	147.315789474	138.076923077	153.884615385
alpha_rarefaction_1453_5.txt	1453	5	140.875	150.052631579	138.260869565	155.882352941	158.3	144.928571429	132.0	153.5	152.8	145.588235294	148.214285714	139.647058824	146.0	155.5	148.0	150.375	146.454545455	150.615384615	158.65	150.315789474	148.0	148.666666667	152.545454545	156.882352941	149.157894737	147.461538462	141.636363636
alpha_rarefaction_1453_6.txt	1453	6	160.25	158.0	148.315789474	156.789473684	152.434782609	143.5	127.928571429	147.4	146.588235294	153.052631579	159.866666667	160.333333333	144.0	157.714285714	156.5	156.55	145.894736842	168.588235294	157.916666667	146.434782609	145.0	157.0	148.769230769	163.235294118	145.555555556	146.0	142.954545455
alpha_rarefaction_1453_7.txt	1453	7	151.772727273	178.461538462	148.071428571	159.454545455	142.55	147.55	136.545454545	160.875	145.8125	154.473684211	144.6875	140.105263158	163.75	157.0	170.3	164.647058824	128.615384615	155.0	156.24137931	148.0	149.25	145.0	150.0	162.625	144.545454545	131.5	152.0
alpha_rarefaction_1453_8.txt	1453	8	154.428571429	155.833333333	146.789473684	143.55	141.260869565	148.5	128.230769231	150.55	152.666666667	157.75	146.65	142.0	159.04	156.058823529	139.5	160.65	150.235294118	156.714285714	150.176470588	147.0	150.555555556	141.333333333	161.5	155.0	153.75	125.047619048	152.157894737
alpha_rarefaction_1453_9.txt	1453	9	143.555555556	149.954545455	143.0	152.666666667	145.833333333	160.714285714	131.55	142.9	161.1	147.0	140.315789474	143.105263158	143.8	173.0	163.230769231	148.5	155.142857143	147.5	149.0	143.181818182	141.772727273	157.04	153.666666667	148.8	148.055555556	137.0	156.0
